,uid,artist,title,artist_uri,album_uri,item_uri,tags
1755,151976,Zola Jesus,Doma,spotify:artist:78OKNrjc3BvniYTqvpOp6P,spotify:album:0ObRnroCwS1JQZUMOgQj3X,spotify:track:6S34XDQPzjKZrFrjK98psN,"['art pop', 'dark pop', 'grave wave', 'metropopolis', 'neo-synthpop', 'noise pop']"
1756,151950,Benjamin Britten,Corpus Christi Carol,spotify:artist:7MJ1pB5d6Vjmzep2zQlorn,spotify:album:7hi6p3cpL6WtcpoaAGcMYS,spotify:track:6l7M3dukuMAtPKr4ewU3re,"['british modern classical', 'classical', 'neoclassicism']"
1757,154069,Marty Manning,The Twilight Zone,spotify:artist:01pNiIO3H7DfjjXSqZPxFB,spotify:album:3BxRvHAvsA82kTjSGElr5v,spotify:track:1KLQUpNxCvDfxPYf0vWHQU,[]
1758,154058,Kyle Dixon & Michael Stein,Hawkins,spotify:artist:00oL7zWxmWveTsKF7DnIRd,spotify:album:2l0rdHb97fQidl9dsOxE6B,spotify:track:2y6mt1xsA4527griyUQf6N,"['horror synth', 'soundtrack']"
1759,148316,Marcos Balter,"Meltdown Upshot: No. 5, Home",spotify:artist:0rNAAMnuGPCPzE7Oa9z7W3,spotify:album:7y77jMsHKB9yZEbx74qeZd,spotify:track:3SxRh3wlwbdj4G5bDrmWUm,"['21st century classical', 'brazilian contemporary classical', 'latin classical']"
1760,138103,James Blake,Guerrero+Blake (Olga Bell mix),spotify:artist:53KwLdlmrlCelAZMaLVZqU,,,"['alternative r&b', 'indie soul', 'uk alternative pop']"
1761,138160,Jacob Cooper,Silver Threads: VI. Jar,spotify:artist:0n1vtLLegldQuP08EPm15x,,,[]
1762,148500,Nico Muhly,"Mothertongue, part I: Archive",spotify:artist:2vObsQCPsbVfkqHlQOu2zc,,,"['21st century classical', 'american 21st century classical', 'compositional ambient', 'experimental classical', 'post-minimalism']"
1763,152598,Alice TM,Disorder,spotify:artist:0HVKMpEboz7ABi4foofyzI,spotify:album:7d9IdXbHarUCfW9afAi4q3,spotify:track:7mJbFCmXPxwSI3iEfQFBru,[]
1764,114832,Philip Glass,Einstein on the Beach: Knee 1,spotify:artist:69lxxQvsfAIoQbB20bEPFC,spotify:album:7mCDTPGNnDgfnwePAG20d0,spotify:track:2WGGP8dkbHANSCTA4eDoQa,"['american contemporary classical', 'classical', 'compositional ambient', 'contemporary classical', 'minimalism']"
1765,152044,Andy Akiho,Prospects of a Misplaced Year I. The War Below,spotify:artist:3syRCay3Voxlaja69iugrs,spotify:album:7rwoPiGEQuWsfoaySSiY7a,spotify:track:4xqaBqZIRSPGPLQyKxdpT2,"['american 21st century classical', 'prepared piano']"
1766,138839,Amiina,Passacaglia,spotify:artist:79MO0KcrOdScKyzuDTtI3k,,,"['bow pop', 'compositional ambient', 'icelandic indie', 'post-rock']"
1767,154221,Ken Thomson,Icebreaker,spotify:artist:30aGSUY8YGcfTR0d4sSpid,spotify:album:6bZU7xGefUVI4WQ1Oiwp0o,spotify:track:2bmy7PM28WxS7jyC9eU6zu,['classical clarinet']
1768,153891,Flume,Weekend feat. Moses Sumney,spotify:artist:6nxWCVXbOlEVRexSbLsTer,,,"['australian dance', 'australian electropop', 'australian indie', 'downtempo', 'edm']"
1769,138090,Juana Molina,Martín Fierro,spotify:artist:76hliHkgP5eIbVqLT7NmQ3,spotify:album:7HZ7QwrTe8N7aMaCEwe6AN,spotify:track:1RrCOM0vK82qjVlkNSrswv,"['argentine indie', 'electronica argentina', 'experimental pop', 'folktronica']"
1770,154468,Patient Hands,The Poisoner,spotify:artist:7hNVZlmfEe50gvlg4Llbs5,spotify:album:7HjaHn1oiQFZ53sPBhXw5F,spotify:track:7MZXuc2gfBWd92n2kWRv2T,['montreal indie']
1771,138123,Tod Dockstader,Pond Dance,spotify:artist:3I573obp4ckH9yt4EYEA6e,spotify:album:2zB97ru4gtcKhZMopp3LW4,spotify:track:2Qi9SiSko39CKyscBlDN0t,"['acousmatic', 'avant-garde', 'electroacoustic composition', 'laboratorio', 'musique concrete', 'sound art']"
1772,143299,Hayden Berry,The End Precedes the Beginning,,,,[]
1773,121731,Francesco Tristano,Mambo,spotify:artist:19CMctG8DNWO0rHPE98ujj,spotify:album:1WwAAvPnyvqkSaCd1gR4wp,spotify:track:752dhE8IbKjQd5UcHaGv4r,['neo-classical']
1774,109842,Tyondai Braxton,Opening Bell,spotify:artist:3LxogQGFWIVPpDWNOVlSzK,spotify:album:0YLEBZ61NEusI82IEWzVEK,spotify:track:72cZB8mN7A16s66mLJiwOz,"['american 21st century classical', 'brooklyn indie', 'laboratorio']"
1775,152829,Sean Mac Erlaine,Cotter's Dream,spotify:artist:0vcf6O3b4efl3EiWzXVsq3,spotify:album:1GYkh5zSRdQ2am1pDPq12O,spotify:track:078VGJUoLu1ilkqbxPxsV8,['irish modern jazz']
1776,152672,Hanna Benn,"Divide (Sing, Persist)",spotify:artist:3f311Nvt0uimtZzFtleUiA,spotify:album:7IH0IjNCuiEPwvZkp7PMO8,spotify:track:3UDU6CrrpoJ4a82BOeAjEf,['multidisciplinary']
1777,152659,Sudan Archives,Pay Attention,spotify:artist:2MPHBxznH1fj59jbOWY38u,spotify:album:2wPKhUg6o1RaamPmfs9NfC,spotify:track:2PdWBJYTeCzCTkQQG01Zm8,"['afrofuturism', 'alternative r&b', 'escape room', 'experimental r&b', 'indie soul', 'la pop']"
1778,148981,Threefifty,Andromeda,spotify:artist:4tMZyPmFB6AWHOelYgTzOW,spotify:album:2zXTyythvtijmb6Qsu1o83,spotify:track:1igblNkqgrX6LvTac8yXH0,['american post-rock']
1779,135548,Mario Diaz de Leon,Luciform,spotify:artist:4sRf7lv4mmc3xIPthh4Wp6,spotify:album:0tdtSCkPrISPsFfOfovW2U,spotify:track:7aSMWfXYDYzW7C2Qqso6EK,['tzadik']
1780,153822,The Dwarfs of East Agouza,Baka Of The Future,spotify:artist:4hOby8V5qAcpSDTMxKchiR,spotify:album:26Ua4qkA802fEsHkbOiuex,spotify:track:14xSeRvKEXxRkt993qRj5w,['arab experimental']
1781,150275,Greg Fox,My House of Equalizing Predecessors,spotify:artist:0TtmWFPYtp9OUobudWwIP0,spotify:album:57lAa0cSW3GT3mNnJr6uKW,spotify:track:3KnxBfJBYMtDFPB3qOxil9,['experimental percussion']
1782,131121,Laurie Spiegel,Dirge Part I-II,spotify:artist:5ixSn3H9wbdWQxcf8qEKOV,,,"['acousmatic', 'ambient', 'avant-garde', 'drone', 'fourth world', 'minimalism', 'proto-techno', 'sound art']"
1783,151917,M+Ńrble,Jabko,,,,[]
1784,151916,Mubashira Mataali Group,Mutume Nabbi (Prophet Muhamad),spotify:artist:1hZKH2k3vO0mB9uFaHu8v8,,,['african electronic']
1785,159162,Simon Jeffes,Music for a Found Harmonium,spotify:artist:5jIelsEltoxIhnRoZRH6RJ,spotify:album:3nll5gKRUrNlx2nAIGYzxu,spotify:track:47uQjj6raKEBVq27AM37D1,[]
1786,151921,Out 2,Pale Version,spotify:artist:1GbavbTmcS3JrZG1tfNioQ,spotify:album:2GQY3n7DVCJSItlAt1tYYm,spotify:track:6h4WXLLA7k3jmZS0rr5Cd4,[]
1787,159163,GoGo Penguin,Ocean in a Drop,spotify:artist:19f2JXwlRU26376TCKmp6L,spotify:album:6J0lmhbOXQLsfRo7Hc6JlR,spotify:track:32qjCa1ZIElBCeg4vu1vRn,"['british jazz', 'contemporary jazz', 'indie jazz', 'jazztronica', 'modern jazz trio', 'progressive jazz fusion']"
1788,151920,King Tubby,Mistry Maker Dub,spotify:artist:1AMMMSq3rJdZtFGnBXEkz7,spotify:album:1vLLUmQMu7EJLlJFG7zc9U,spotify:track:5ghrJSn6dKpEPfIs49zSej,"['dub', 'reggae', 'roots reggae', 'ska']"
1789,151919,Solitary Dancer,La Donna,spotify:artist:676jXFZDJC6IqruhBrZiIr,spotify:album:60bnujSxk5Ofua0iVcQnN2,spotify:track:4XzPZCBlgrOSYJuSn6AiT0,[]
1790,159158,Penguin Cafe Orchestra,Cutting Branches For A Temporary Shelter,spotify:artist:6rAZ6OYwAXqykSlPxqGy8E,spotify:album:2HDowU93etbL5ClDIRAyh8,spotify:track:0Lm3loChnSsNS37nxvLYcN,"['art rock', 'bow pop', 'compositional ambient']"
1791,103340,John Adams,John's Book of Alleged Dances: Habanera,spotify:artist:35OhI7DSls022v9Bz9r0VZ,spotify:album:76MhP9wR5CML55bQyRIeU9,spotify:track:6QkDzhWBR4gc1cqadn5Eh1,"['american contemporary classical', 'avant-garde', 'classical', 'compositional ambient', 'contemporary classical', 'minimalism', 'post-minimalism']"
1792,152084,felicita,skip blush,spotify:artist:6GmZBJpAV2nkNPFbF64QcX,spotify:album:7fI0kjM8UylrA9iZObwzej,spotify:track:3ZbVTH2TUNFbCIqsRTirSn,"['electra', 'proto-hyperpop']"
1793,153503,TootArd,Bayati Blues,spotify:artist:7nSWA1659h0Vb1EyjJdSFV,spotify:album:0acmEZwZrpPj30Tpp1MyAD,spotify:track:4KNocAteyHQOS3t9d8FbMq,"['arab alternative', 'arab groove', 'palestinian pop', 'syrian pop']"
1794,152103,Deradoorian,A Beautiful Woman,spotify:artist:3jLCHiuXBTGEEku37TsobP,spotify:album:10e1mx1PykreNOn02pFjIU,spotify:track:31NVIwE4edzNpTXAZ7UyB6,['neo-psychedelic']
